                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1027,                 4.0522,                 1.0506,                 0.4513,                0.35423,                0.22234,                0.10797,                 1.2918,                 12.137,                 1.1433,             0.00041063,             0.00041063,             0.00041063
                      1,                 1.1423,                 2.3178,                 1.1472,                0.86334,                0.29425,                0.56297,                0.30795,                 1.2188,                 1.5445,                 1.3253,             0.00081091,             0.00081091,             0.00081091
                      2,                 1.2197,                 2.3182,                 1.1705,                0.59397,                0.37752,                0.42617,                0.23614,                 1.3397,                 1.6235,                 1.2173,              0.0011947,              0.0011947,              0.0011947
                      3,                 1.2276,                 2.0381,                 1.1875,                0.54418,                0.48007,                0.48968,                 0.2391,                 1.7138,                 1.6068,                 1.5572,              0.0011757,              0.0011757,              0.0011757
                      4,                  1.218,                 1.7934,                 1.1641,                0.64493,                0.57337,                0.62226,                0.36031,                 1.2286,                 1.3319,                 1.1597,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.1179,                  1.727,                 1.1698,                0.79072,                  0.501,                0.64308,                0.32184,                 1.3309,                 1.2543,                 1.2261,               0.001151,               0.001151,               0.001151
                      6,                 1.1537,                 1.7306,                 1.1699,                0.74989,                0.66121,                0.72153,                0.39069,                 1.1513,                 1.2103,                 1.1227,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0403,                 1.6057,                 1.1435,                0.74026,                0.64998,                0.75974,                0.39192,                 1.2034,                 1.1456,                 1.1449,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0872,                  1.571,                 1.1622,                0.80833,                0.60194,                0.69557,                0.35923,                 1.1383,                 1.1419,                 1.0859,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0238,                  1.513,                 1.1255,                0.87931,                0.60685,                0.73174,                 0.4499,                 1.1397,                 1.1937,                 1.0806,               0.001052,               0.001052,               0.001052
                     10,                 1.0086,                 1.5279,                 1.0855,                0.86565,                0.60151,                0.77867,                0.44962,                 1.0713,                 1.1533,                 1.1074,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.0447,                 1.5922,                 1.1059,                0.64068,                0.76736,                0.73398,                 0.3762,                 1.1289,                 1.1947,                 1.0702,              0.0010025,              0.0010025,              0.0010025
                     12,                0.97547,                 1.4944,                  1.063,                 0.6975,                0.67086,                 0.7216,                0.41428,                 1.0506,                 1.3094,                 1.0677,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.9248,                 1.4505,                  1.078,                0.69058,                0.76309,                0.82321,                 0.4693,                 1.0612,                 1.0679,                 1.0517,               0.000953,               0.000953,               0.000953
                     14,                0.91476,                 1.4616,                 1.0496,                0.61961,                0.62631,                0.67176,                0.36852,                  1.051,                 1.3511,                  1.058,             0.00092825,             0.00092825,             0.00092825
                     15,                0.88702,                 1.4176,                 1.0637,                0.68953,                0.57373,                0.69492,                0.46637,                0.95259,                 1.2724,                 1.0283,              0.0009035,              0.0009035,              0.0009035
                     16,                0.90945,                 1.3822,                 1.0328,                0.82294,                0.69573,                0.76441,                0.44854,                 1.0849,                 1.2502,                 1.0554,             0.00087875,             0.00087875,             0.00087875
                     17,                0.86301,                 1.3281,                 1.0268,                0.67267,                0.63724,                 0.7052,                0.41579,                 1.0259,                 1.1742,                 1.0236,               0.000854,               0.000854,               0.000854
                     18,                0.85997,                  1.392,                 1.0208,                0.81563,                0.59996,                0.74506,                 0.4173,                 1.0874,                 1.1571,                 1.0626,             0.00082925,             0.00082925,             0.00082925
                     19,                0.82515,                 1.2795,                 1.0225,                0.72197,                0.60648,                0.76181,                0.45321,                 1.0045,                 1.2711,                 1.0387,              0.0008045,              0.0008045,              0.0008045
                     20,                0.86948,                 1.3234,                 1.0239,                0.67266,                 0.6437,                0.73501,                0.48634,                0.92812,                 1.1102,                 0.9984,             0.00077975,             0.00077975,             0.00077975
                     21,                0.82329,                 1.2359,                0.98648,                0.66124,                0.66216,                0.76107,                0.46294,                 1.0057,                 1.4165,                 1.0087,               0.000755,               0.000755,               0.000755
                     22,                0.84603,                  1.224,                 0.9807,                0.69176,                0.64576,                0.75103,                0.39705,                 1.0429,                 1.5678,                 1.0343,             0.00073025,             0.00073025,             0.00073025
                     23,                0.80362,                 1.2329,                 1.0024,                0.58071,                0.60742,                0.61467,                0.39158,                0.95253,                 1.2038,                 1.0252,              0.0007055,              0.0007055,              0.0007055
                     24,                0.80265,                 1.1772,                 0.9955,                0.66012,                 0.6399,                0.66381,                0.43277,                 1.0198,                 1.4784,                 1.0347,             0.00068075,             0.00068075,             0.00068075
                     25,                0.80328,                 1.1325,                0.98398,                 0.6163,                0.50744,                0.65597,                0.43548,                0.95827,                 1.3468,                  1.035,               0.000656,               0.000656,               0.000656
                     26,                0.80586,                 1.1956,                0.98665,                0.71445,                0.63759,                0.71063,                0.38213,                0.97721,                 1.2731,                 1.0075,             0.00063125,             0.00063125,             0.00063125
                     27,                0.78906,                 1.1043,                0.98186,                0.70369,                0.57017,                0.68066,                   0.38,                 1.0784,                 1.3159,                 1.0394,              0.0006065,              0.0006065,              0.0006065
                     28,                0.79687,                 1.1739,                0.98432,                0.77058,                0.58349,                0.77409,                0.47443,                0.93166,                  1.501,                0.99978,             0.00058175,             0.00058175,             0.00058175
                     29,                0.79099,                 1.1925,                0.97498,                0.87989,                0.55449,                0.77319,                0.44267,                 1.0349,                 1.6221,                 1.0323,               0.000557,               0.000557,               0.000557
                     30,                0.73751,                 1.2186,                0.96563,                0.75693,                0.52364,                0.63707,                0.39381,                0.98423,                 1.7001,                 0.9995,             0.00053225,             0.00053225,             0.00053225
                     31,                0.73716,                 1.1271,                0.96475,                0.74572,                  0.593,                0.68529,                0.44695,                0.91915,                 1.4427,                0.98257,              0.0005075,              0.0005075,              0.0005075
