                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99228,                 2.5665,                 1.0004,                0.00446,                   0.85,                0.64359,                0.50254,                0.76841,                 3.4004,                0.89948,             0.00040833,             0.00040833,             0.00040833
                      1,                0.94967,                  1.523,                0.98173,                0.77302,                0.73209,                0.81809,                0.59011,                0.86213,                 2.3323,                0.94917,             0.00080866,             0.00080866,             0.00080866
                      2,                0.93115,                 1.3714,                0.99697,                0.80842,                0.78922,                0.84696,                 0.6088,                0.94516,                 1.7208,                0.99365,              0.0011925,              0.0011925,              0.0011925
                      3,                0.94775,                 1.2413,                0.99804,                0.88494,                0.82956,                0.88035,                 0.6594,                0.80856,                 1.4364,                 1.0154,              0.0011757,              0.0011757,              0.0011757
                      4,                 0.8672,                 1.0782,                0.97537,                0.85362,                0.85434,                0.91838,                0.68317,                0.82467,                 1.0883,                 1.0158,              0.0011757,              0.0011757,              0.0011757
                      5,                0.86293,                  1.019,                0.99893,                0.96969,                0.77488,                0.86729,                0.67968,                0.83705,                0.91806,                0.98015,               0.001151,               0.001151,               0.001151
                      6,                0.81257,                0.88455,                0.96914,                0.84721,                0.78848,                0.84103,                0.63454,                0.82936,                 1.0119,                0.96971,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.7984,                0.85576,                0.96875,                0.88935,                0.88179,                0.89571,                0.67487,                0.79831,                 0.8577,                0.94716,              0.0011015,              0.0011015,              0.0011015
                      8,                0.82781,                0.83917,                0.96427,                0.94336,                0.86667,                0.92527,                0.71113,                0.80047,                0.63992,                0.93849,              0.0010768,              0.0010768,              0.0010768
                      9,                0.74119,                0.72743,                0.93966,                 0.8358,                0.95376,                0.94302,                0.74087,                0.75611,                0.61594,                0.94334,               0.001052,               0.001052,               0.001052
                     10,                0.74432,                0.69768,                0.93976,                0.97679,                0.88784,                0.93566,                0.75245,                0.69079,                0.58107,                0.91287,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.8046,                0.72486,                0.95721,                0.94825,                0.93357,                0.96319,                0.77695,                 0.7005,                0.54585,                 0.8982,              0.0010025,              0.0010025,              0.0010025
                     12,                0.75857,                0.65046,                 0.9425,                0.97075,                0.88325,                 0.9467,                0.75915,                0.71424,                 0.5177,                0.91545,             0.00097775,             0.00097775,             0.00097775
                     13,                0.73602,                0.62864,                0.93553,                0.99344,                0.91842,                0.97238,                0.78391,                 0.7342,                0.47578,                0.91338,               0.000953,               0.000953,               0.000953
                     14,                  0.713,                0.58848,                 0.9376,                0.98373,                0.93002,                0.95522,                0.75717,                0.74267,                0.48524,                0.96454,             0.00092825,             0.00092825,             0.00092825
                     15,                0.71904,                0.58442,                0.92902,                0.95646,                0.94494,                0.96773,                0.78057,                0.69057,                0.45017,                0.90263,              0.0009035,              0.0009035,              0.0009035
                     16,                0.69988,                0.57203,                0.93137,                0.92789,                0.93111,                0.96133,                0.77631,                0.70233,                0.44616,                0.89839,             0.00087875,             0.00087875,             0.00087875
                     17,                0.68014,                0.53242,                0.91776,                0.98821,                 0.9238,                0.96432,                0.78481,                0.67966,                0.42203,                0.89299,               0.000854,               0.000854,               0.000854
                     18,                0.66836,                0.51481,                 0.9133,                0.98002,                0.95494,                0.97068,                0.81478,                0.65926,                 0.4515,                0.90797,             0.00082925,             0.00082925,             0.00082925
                     19,                0.70221,                0.53769,                0.91575,                0.97711,                0.92993,                0.97076,                 0.7814,                0.70899,                0.40774,                0.89675,              0.0008045,              0.0008045,              0.0008045
                     20,                0.66085,                0.50516,                 0.8966,                0.91652,                0.96462,                0.97887,                0.80377,                0.61892,                0.40106,                0.86457,             0.00077975,             0.00077975,             0.00077975
                     21,                0.66312,                0.50441,                0.91439,                0.98286,                0.93916,                0.96735,                0.75674,                0.72689,                0.43203,                0.90268,               0.000755,               0.000755,               0.000755
                     22,                0.66528,                0.49699,                0.90209,                0.96497,                0.95571,                0.97015,                 0.8334,                0.57065,                0.39279,                0.86001,             0.00073025,             0.00073025,             0.00073025
                     23,                0.64252,                0.47651,                0.90038,                0.98815,                0.94855,                 0.9721,                0.82672,                0.61611,                0.37897,                0.86899,              0.0007055,              0.0007055,              0.0007055
                     24,                0.64428,                0.47507,                0.90118,                0.97907,                 0.9655,                0.97043,                0.80727,                0.63839,                0.39925,                0.87989,             0.00068075,             0.00068075,             0.00068075
                     25,                0.63514,                0.47906,                0.89503,                0.98263,                0.97033,                0.97105,                0.79775,                0.65589,                0.39474,                0.88748,               0.000656,               0.000656,               0.000656
                     26,                0.61298,                0.44142,                0.88789,                0.98397,                0.95221,                0.96982,                0.81153,                0.65505,                0.40263,                0.88286,             0.00063125,             0.00063125,             0.00063125
                     27,                0.59894,                0.43663,                0.88741,                0.98547,                0.95385,                 0.9708,                0.81898,                0.64663,                0.37002,                0.86987,              0.0006065,              0.0006065,              0.0006065
                     28,                 0.6282,                0.44805,                0.89014,                0.97992,                0.95554,                0.97081,                0.83476,                0.58225,                0.34709,                0.85008,             0.00058175,             0.00058175,             0.00058175
                     29,                0.61633,                0.43584,                0.88499,                0.98767,                0.94961,                0.96991,                0.81672,                0.61541,                0.35251,                0.86313,               0.000557,               0.000557,               0.000557
                     30,                 0.6043,                0.41697,                 0.8894,                0.98276,                 0.9305,                0.97053,                0.81796,                0.61376,                0.37215,                0.86525,             0.00053225,             0.00053225,             0.00053225
                     31,                0.60224,                0.42287,                0.88627,                0.98457,                0.94622,                0.97056,                0.81467,                0.61013,                0.37133,                0.85736,              0.0005075,              0.0005075,              0.0005075
                     32,                0.60934,                0.43629,                0.88815,                0.97795,                0.96667,                0.97045,                0.81103,                0.63665,                0.37208,                0.87229,             0.00048275,             0.00048275,             0.00048275
                     33,                0.59056,                 0.4058,                 0.8836,                0.97257,                0.95277,                0.97138,                0.82398,                0.58776,                0.36581,                0.85812,               0.000458,               0.000458,               0.000458
                     34,                0.58757,                0.40589,                 0.8925,                0.98792,                0.96566,                0.97043,                0.84302,                0.56298,                0.33728,                0.85402,             0.00043325,             0.00043325,             0.00043325
                     35,                0.57058,                0.38934,                0.87962,                0.96348,                0.96393,                0.97083,                0.82745,                0.58683,                0.34815,                0.85778,              0.0004085,              0.0004085,              0.0004085
                     36,                0.58536,                 0.3917,                0.87826,                0.98559,                0.96147,                0.97153,                 0.8463,                0.58158,                0.35634,                0.85839,             0.00038375,             0.00038375,             0.00038375
                     37,                0.55581,                0.37016,                0.86817,                0.97458,                0.96909,                0.97174,                0.84443,                0.58523,                0.34056,                0.85148,               0.000359,               0.000359,               0.000359
                     38,                0.57273,                0.39029,                0.87138,                0.95703,                0.95797,                0.95078,                0.80058,                0.60598,                0.37552,                0.86541,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.5655,                0.38688,                0.86901,                0.98374,                0.96081,                0.97121,                0.81177,                 0.5951,                0.32501,                0.86033,              0.0003095,              0.0003095,              0.0003095
                     40,                0.54761,                0.36542,                0.87685,                0.97339,                0.96117,                0.97121,                0.83383,                0.58563,                0.32842,                0.85851,             0.00028475,             0.00028475,             0.00028475
                     41,                0.54654,                 0.3588,                0.86877,                0.97334,                0.96667,                0.97158,                0.82268,                0.60284,                0.32038,                0.87033,                0.00026,                0.00026,                0.00026
                     42,                0.54353,                0.35912,                0.87015,                0.98316,                0.95179,                0.97193,                0.82369,                0.60235,                0.33355,                 0.8671,             0.00023525,             0.00023525,             0.00023525
                     43,                0.53524,                0.35563,                0.86793,                0.98265,                0.96944,                  0.972,                0.83092,                0.60994,                0.32598,                0.86602,              0.0002105,              0.0002105,              0.0002105
                     44,                0.52511,                0.35376,                0.86317,                0.98159,                0.96864,                0.97174,                0.83343,                0.57774,                0.33016,                 0.8525,             0.00018575,             0.00018575,             0.00018575
                     45,                 0.5226,                0.34477,                0.86844,                0.98291,                 0.9585,                0.97148,                0.83861,                0.58418,                0.33295,                  0.852,               0.000161,               0.000161,               0.000161
