                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0589,                 2.6322,                 1.0049,                0.55827,                0.19817,                0.34771,                0.24643,                 1.0802,                 3.4248,                0.95655,             0.00041063,             0.00041063,             0.00041063
                      1,                 1.0239,                 1.6578,                0.98731,                0.59162,                0.48651,                 0.5291,                0.35985,                 1.0559,                 1.9672,                0.99108,             0.00081091,             0.00081091,             0.00081091
                      2,                 0.9901,                 1.3938,                 0.9978,                0.76684,                0.53026,                0.63105,                0.42715,                 1.0363,                 1.5655,                0.98797,              0.0011947,              0.0011947,              0.0011947
                      3,                0.97066,                 1.2435,                0.99133,                0.78081,                0.53919,                0.66429,                  0.458,                 1.0065,                  1.083,                 0.9857,              0.0011757,              0.0011757,              0.0011757
                      4,                0.94976,                  1.077,                0.98278,                0.72814,                0.61981,                 0.6886,                 0.4626,                 1.0265,                 0.9833,                 0.9939,              0.0011757,              0.0011757,              0.0011757
                      5,                0.92924,                0.94062,                0.97932,                0.71768,                0.76491,                0.76027,                0.51505,                0.90457,                0.97153,                0.95248,               0.001151,               0.001151,               0.001151
                      6,                0.88451,                0.84483,                0.95569,                 0.7937,                0.78824,                0.79352,                0.50774,                 1.0389,                 0.8035,                 1.0161,              0.0011263,              0.0011263,              0.0011263
                      7,                0.88107,                0.79673,                0.95687,                0.75794,                 0.7414,                0.78243,                0.53797,                0.90583,                0.70731,                0.93942,              0.0011015,              0.0011015,              0.0011015
                      8,                0.85132,                0.72912,                0.94603,                0.74514,                0.88082,                0.83471,                0.49756,                 1.0086,                0.71911,                0.96464,              0.0010768,              0.0010768,              0.0010768
                      9,                0.85832,                 0.7264,                 0.9481,                0.76579,                0.61685,                0.75538,                0.52544,                0.99705,                0.78816,                0.98097,               0.001052,               0.001052,               0.001052
                     10,                0.84909,                0.69387,                0.93169,                 0.6553,                0.83108,                 0.7527,                0.52902,                0.93498,                0.73054,                0.95522,              0.0010273,              0.0010273,              0.0010273
                     11,                0.83873,                0.66723,                0.93484,                0.79406,                0.76143,                0.82526,                0.54337,                0.96192,                0.68196,                0.94905,              0.0010025,              0.0010025,              0.0010025
                     12,                0.83646,                0.65605,                0.93648,                0.70496,                0.78697,                0.77457,                0.52439,                0.94847,                0.66612,                0.94912,             0.00097775,             0.00097775,             0.00097775
                     13,                0.81608,                0.63102,                 0.9407,                  0.724,                0.77065,                0.78536,                0.58332,                0.80929,                0.65175,                 0.9173,               0.000953,               0.000953,               0.000953
                     14,                0.81761,                0.60818,                 0.9325,                0.73527,                0.83004,                0.81504,                0.58025,                0.82614,                0.61013,                0.91857,             0.00092825,             0.00092825,             0.00092825
                     15,                0.78644,                0.59298,                0.92461,                0.64664,                0.82836,                0.77111,                0.56417,                0.84864,                0.65872,                 0.9175,              0.0009035,              0.0009035,              0.0009035
                     16,                0.78202,                0.58157,                 0.9174,                0.81315,                0.83328,                0.84689,                0.57926,                0.85029,                0.56615,                0.92569,             0.00087875,             0.00087875,             0.00087875
                     17,                0.78599,                0.57013,                0.91398,                0.77918,                0.88408,                0.87515,                0.60485,                0.85981,                 0.5666,                0.91659,               0.000854,               0.000854,               0.000854
                     18,                0.74332,                 0.5484,                0.90505,                0.78828,                0.83929,                0.85299,                0.60822,                0.80694,                0.54292,                0.90972,             0.00082925,             0.00082925,             0.00082925
                     19,                0.76541,                  0.552,                0.91903,                0.81848,                0.83929,                0.84537,                0.60178,                0.93151,                0.57766,                0.93186,              0.0008045,              0.0008045,              0.0008045
                     20,                0.76006,                0.53141,                0.90775,                 0.8806,                0.74529,                0.82192,                0.61086,                0.80699,                 0.5364,                0.91604,             0.00077975,             0.00077975,             0.00077975
                     21,                0.75995,                 0.5303,                0.90855,                0.80319,                0.80289,                0.82371,                0.62267,                0.79334,                0.52575,                0.89949,               0.000755,               0.000755,               0.000755
                     22,                0.74453,                0.52394,                0.90437,                0.76652,                0.90439,                0.89166,                0.66205,                0.78783,                0.51979,                0.89318,             0.00073025,             0.00073025,             0.00073025
                     23,                 0.7231,                0.50657,                0.90333,                0.82957,                0.83929,                0.85122,                0.62653,                0.77733,                0.49381,                0.88926,              0.0007055,              0.0007055,              0.0007055
                     24,                 0.7312,                0.51174,                0.89882,                0.84442,                0.85967,                0.87951,                0.61693,                0.84824,                0.51199,                0.90594,             0.00068075,             0.00068075,             0.00068075
                     25,                0.73124,                0.51577,                0.89389,                0.84429,                 0.7904,                0.87126,                0.58652,                0.86261,                0.54422,                 0.9162,               0.000656,               0.000656,               0.000656
                     26,                0.69756,                0.48456,                0.89187,                0.91157,                0.73563,                0.84094,                0.60146,                0.80157,                0.53393,                0.91221,             0.00063125,             0.00063125,             0.00063125
                     27,                0.71964,                0.49799,                0.90353,                0.89825,                0.74511,                0.83353,                0.61286,                0.78065,                0.51904,                0.89697,              0.0006065,              0.0006065,              0.0006065
                     28,                0.68459,                 0.4651,                0.88903,                0.81746,                 0.8452,                0.87041,                0.59723,                0.79564,                0.50515,                0.89688,             0.00058175,             0.00058175,             0.00058175
                     29,                0.68954,                0.46856,                0.89187,                0.80517,                0.83145,                0.86395,                 0.6119,                0.80263,                0.49099,                0.89883,               0.000557,               0.000557,               0.000557
                     30,                0.68276,                0.45884,                0.88557,                0.80353,                 0.8328,                0.88623,                0.62794,                0.77453,                0.47362,                0.88983,             0.00053225,             0.00053225,             0.00053225
                     31,                0.68844,                0.45021,                0.88397,                0.81875,                0.83027,                0.88017,                0.65582,                0.79603,                0.48853,                0.89074,              0.0005075,              0.0005075,              0.0005075
                     32,                0.69525,                0.46554,                0.89233,                0.76637,                0.92644,                0.91038,                0.66567,                0.75435,                0.48363,                0.88534,             0.00048275,             0.00048275,             0.00048275
                     33,                 0.6786,                0.45485,                0.89389,                0.87248,                0.77428,                0.88102,                0.63162,                0.75712,                0.47147,                0.88203,               0.000458,               0.000458,               0.000458
                     34,                0.68376,                0.44932,                0.89029,                 0.8058,                0.84325,                0.88805,                0.66725,                0.72723,                0.46983,                0.87855,             0.00043325,             0.00043325,             0.00043325
