                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.038,                 2.5161,                0.98913,                0.87422,                0.21737,                0.45113,                0.34153,                 1.0793,                 3.3959,                0.95589,             0.00041063,             0.00041063,             0.00041063
                      1,                0.99847,                 1.5328,                 0.9815,                0.59806,                0.47464,                0.50723,                0.33632,                 1.1663,                 1.8991,                  1.035,             0.00081091,             0.00081091,             0.00081091
                      2,                 0.9838,                 1.4054,                 1.0024,                0.93403,                0.44248,                0.49565,                0.35044,                 1.1324,                 1.3819,                 1.0867,              0.0011947,              0.0011947,              0.0011947
                      3,                0.97404,                 1.2365,                 1.0141,                0.71535,                0.44104,                0.55907,                0.38356,                 1.0105,                 1.3373,                0.99624,              0.0011757,              0.0011757,              0.0011757
                      4,                0.93534,                 1.0616,                 0.9903,                0.77424,                0.66911,                0.73323,                0.46159,                 1.0013,                0.93748,                0.99681,              0.0011757,              0.0011757,              0.0011757
                      5,                0.90511,                0.95698,                0.98273,                0.56013,                0.70933,                0.64956,                0.39524,                 1.0123,                 1.1458,                 1.0089,               0.001151,               0.001151,               0.001151
                      6,                0.86222,                0.85026,                0.96068,                0.79414,                0.81842,                 0.7697,                0.47847,                 1.0613,                0.78755,                0.99726,              0.0011263,              0.0011263,              0.0011263
                      7,                0.86907,                0.79189,                0.96209,                0.88621,                0.68786,                0.81202,                0.52676,                0.96771,                0.73557,                0.97557,              0.0011015,              0.0011015,              0.0011015
                      8,                0.83653,                 0.7291,                0.94718,                0.81439,                0.70688,                 0.7849,                0.45431,                 1.0678,                0.70495,                0.98589,              0.0010768,              0.0010768,              0.0010768
                      9,                0.83127,                 0.7049,                0.94329,                0.79483,                0.80056,                0.78881,                0.50504,                 1.0083,                0.66523,                0.97822,               0.001052,               0.001052,               0.001052
                     10,                0.81996,                0.69188,                0.93302,                0.75675,                0.68369,                0.76407,                0.50883,                0.91166,                0.73771,                0.95599,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.7994,                0.66385,                0.93769,                0.83032,                0.78973,                0.83688,                0.53406,                0.93791,                0.61685,                0.93092,              0.0010025,              0.0010025,              0.0010025
                     12,                 0.8078,                0.64702,                0.93461,                0.90979,                0.76218,                0.83244,                 0.5546,                0.91782,                0.55646,                0.94186,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.8048,                0.62751,                 0.9461,                0.83284,                0.73017,                0.80548,                0.57299,                0.79895,                0.66508,                0.92748,               0.000953,               0.000953,               0.000953
                     14,                0.78323,                0.59036,                0.93032,                0.94175,                 0.7571,                0.83509,                0.59404,                0.85873,                0.56611,                0.91124,             0.00092825,             0.00092825,             0.00092825
                     15,                0.76283,                0.58333,                0.92685,                0.86373,                0.76262,                0.82942,                0.60591,                 0.8373,                 0.5473,                0.90762,              0.0009035,              0.0009035,              0.0009035
                     16,                0.74533,                0.54877,                0.91572,                0.89438,                0.87529,                0.86834,                0.58933,                0.79348,                0.53179,                 0.9022,             0.00087875,             0.00087875,             0.00087875
                     17,                0.75222,                0.54432,                0.91319,                0.90066,                0.82776,                0.88754,                0.60377,                0.85703,                0.51574,                0.90408,               0.000854,               0.000854,               0.000854
                     18,                0.72219,                0.53358,                0.90567,                0.77475,                0.82141,                0.84195,                0.57917,                0.80592,                 0.5311,                0.92443,             0.00082925,             0.00082925,             0.00082925
                     19,                0.73719,                0.53134,                0.91983,                0.84211,                0.88359,                0.86039,                0.57707,                0.84405,                0.51017,                0.90987,              0.0008045,              0.0008045,              0.0008045
                     20,                 0.7284,                0.51553,                0.90712,                0.81463,                0.88667,                0.85211,                 0.6144,                0.80552,                0.53313,                0.90596,             0.00077975,             0.00077975,             0.00077975
                     21,                0.72084,                0.50542,                0.90498,                0.85438,                 0.8355,                0.84233,                0.58933,                0.80434,                0.50313,                0.88819,               0.000755,               0.000755,               0.000755
                     22,                0.69998,                0.49147,                0.89769,                0.92335,                0.79933,                0.88264,                0.62802,                 0.8128,                0.47906,                0.89383,             0.00073025,             0.00073025,             0.00073025
                     23,                0.69627,                0.48316,                0.90018,                0.82797,                0.87956,                 0.8823,                0.63281,                0.78604,                0.47571,                0.88367,              0.0007055,              0.0007055,              0.0007055
                     24,                0.69446,                0.47513,                0.89357,                0.88983,                 0.8622,                 0.8841,                0.63874,                0.78107,                 0.4786,                0.88699,             0.00068075,             0.00068075,             0.00068075
                     25,                0.68826,                0.48383,                0.88958,                0.89032,                0.87287,                0.88892,                0.64575,                0.78075,                 0.4625,                 0.8868,               0.000656,               0.000656,               0.000656
                     26,                0.64882,                0.45502,                0.88525,                0.89363,                0.83513,                0.87656,                0.67001,                 0.7182,                0.46877,                0.87579,             0.00063125,             0.00063125,             0.00063125
                     27,                0.68859,                0.45851,                0.89965,                0.87217,                0.84722,                0.89167,                0.64464,                0.78497,                0.44513,                0.88642,              0.0006065,              0.0006065,              0.0006065
                     28,                0.65075,                0.42448,                 0.8836,                0.86457,                0.87142,                0.90262,                0.63135,                 0.7948,                0.44691,                0.89796,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64772,                0.43801,                0.88324,                0.84275,                0.87847,                0.89462,                0.64374,                0.77366,                0.44391,                 0.8824,               0.000557,               0.000557,               0.000557
                     30,                0.64564,                0.42747,                0.88052,                0.88163,                0.92642,                0.93269,                0.66696,                0.73853,                 0.4174,                0.88288,             0.00053225,             0.00053225,             0.00053225
                     31,                0.64433,                0.42775,                0.87924,                 0.9141,                0.93692,                0.93398,                0.68193,                0.74027,                0.42456,                0.86857,              0.0005075,              0.0005075,              0.0005075
                     32,                0.65135,                0.42908,                0.88574,                 0.8323,                    0.9,                0.90127,                0.66719,                0.77996,                0.45887,                0.87667,             0.00048275,             0.00048275,             0.00048275
                     33,                0.62953,                0.41378,                0.88523,                0.88081,                0.86157,                0.88927,                0.65178,                0.73257,                0.43987,                0.87373,               0.000458,               0.000458,               0.000458
                     34,                0.63924,                0.42137,                0.88134,                0.89843,                0.87398,                0.89914,                0.66236,                0.73772,                0.41992,                0.87348,             0.00043325,             0.00043325,             0.00043325
                     35,                0.62575,                0.41833,                0.86404,                0.82798,                0.95998,                 0.9218,                0.65423,                0.73897,                0.43629,                0.86714,              0.0004085,              0.0004085,              0.0004085
                     36,                0.60175,                0.39054,                0.86904,                0.85575,                0.92388,                0.92959,                0.67396,                0.74892,                0.43172,                0.87167,             0.00038375,             0.00038375,             0.00038375
                     37,                0.62465,                0.40201,                0.86981,                0.92246,                0.93252,                0.95407,                0.68094,                0.75672,                0.41193,                0.87557,               0.000359,               0.000359,               0.000359
                     38,                  0.595,                 0.3814,                0.86544,                0.87806,                0.94097,                0.93095,                0.69696,                0.70699,                0.39459,                0.87337,             0.00033425,             0.00033425,             0.00033425
                     39,                0.57741,                0.37506,                0.87087,                0.91253,                0.90972,                0.91743,                0.66619,                0.75698,                0.40463,                 0.8809,              0.0003095,              0.0003095,              0.0003095
                     40,                0.59844,                 0.3826,                 0.8669,                0.90677,                0.90244,                0.91078,                0.68339,                0.72716,                0.39956,                0.86832,             0.00028475,             0.00028475,             0.00028475
                     41,                0.58991,                0.36817,                0.86206,                  0.881,                0.90174,                0.91269,                0.68535,                0.71553,                0.38122,                0.86986,                0.00026,                0.00026,                0.00026
                     42,                0.58222,                0.36568,                0.86422,                0.90474,                0.89389,                0.91321,                0.66664,                0.73076,                0.39665,                0.87811,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.5862,                0.36796,                0.86473,                0.89659,                0.87426,                 0.9037,                0.68443,                0.71541,                0.38825,                0.87293,              0.0002105,              0.0002105,              0.0002105
                     44,                0.57424,                 0.3619,                0.85954,                0.92137,                0.90673,                0.91633,                0.67882,                0.70814,                0.37239,                 0.8665,             0.00018575,             0.00018575,             0.00018575
                     45,                0.54333,                0.34056,                0.84884,                0.91396,                0.89961,                0.91905,                0.68436,                0.68784,                0.37417,                0.86083,               0.000161,               0.000161,               0.000161
                     46,                0.56075,                 0.3479,                0.85449,                0.91818,                0.90102,                0.91754,                0.68502,                0.71675,                0.38841,                0.86818,             0.00013625,             0.00013625,             0.00013625
                     47,                0.55725,                0.34121,                0.85302,                0.91908,                0.87433,                0.92116,                0.67668,                0.71871,                0.37697,                0.86946,              0.0001115,              0.0001115,              0.0001115
                     48,                0.55644,                0.34431,                0.85671,                0.91822,                0.90972,                0.92333,                0.68962,                0.69284,                0.36759,                0.86522,              8.675e-05,              8.675e-05,              8.675e-05
